task_type,selection_role,condition,run_id,source_dataset,model_name,retain_mechanism,reinforcement_repeats,sample_count,timestamp,source_persona_a,source_persona_b
mbti_mcq,A_history_to_B,A_history_to_B,persona_20260410T051702Z_affdb235,mbti_questions,gemini-2.5-flash-lite,history,1,93,2026-04-10T05:18:49.186706+00:00,INTJ,ESFP
mbti_mcq,A_only,A_only,persona_20260410T042215Z_12ed668c,mbti_questions,gemini-2.5-flash-lite,none,0,93,2026-04-10T04:24:35.135436+00:00,INTJ,INTJ
mbti_mcq,A_summary_to_B,A_summary_to_B,persona_20260410T052042Z_e30303b7,mbti_questions,gemini-2.5-flash-lite,summary,1,93,2026-04-10T05:22:32.552755+00:00,INTJ,ESFP
mbti_mcq,B_history_to_B,B_history_to_B,persona_20260410T052449Z_66df3566,mbti_questions,gemini-2.5-flash-lite,history,1,93,2026-04-10T05:27:19.910806+00:00,INTJ,ESFP
mbti_mcq,B_only,B_only,persona_20260410T042636Z_7caa0052,mbti_questions,gemini-2.5-flash-lite,none,0,93,2026-04-10T04:28:11.433417+00:00,ESFP,ESFP
mbti_mcq,B_summary_to_B,B_summary_to_B,persona_20260410T052942Z_0fc74cc7,mbti_questions,gemini-2.5-flash-lite,summary,1,93,2026-04-10T05:31:30.889442+00:00,INTJ,ESFP
machine_mindset,A_history_to_B,A_history_to_B,persona_20260410T051855Z_ee85d51d,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,history,1,30,2026-04-10T05:19:34.693902+00:00,INTJ,ESFP
machine_mindset,A_only,A_only,persona_20260410T042443Z_edc279e8,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,none,0,30,2026-04-10T04:25:23.370622+00:00,INTJ,INTJ
machine_mindset,A_summary_to_B,A_summary_to_B,persona_20260410T052238Z_5c0ddcde,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,summary,1,30,2026-04-10T05:23:17.529232+00:00,INTJ,ESFP
machine_mindset,B_history_to_B,B_history_to_B,persona_20260410T052725Z_c60b5d9f,machine_mindset_self_awareness_eval,gemini-2.5-flash-lite,history,1,30,2026-04-10T05:28:19.602634+00:00,INTJ,ESFP
