question_id,section,prompt_zh,option_a_zh,option_b_zh,option_a_dimension,option_b_dimension,prompt_en,option_a_en,option_b_en
1,1,当你要外出一整天，你会,计划你要做什么和在什么时候做,说去就去,J,P,"When you are going out for a whole day, you tend to",plan what you will do and when to do it,just go spontaneously
2,1,你认为自己是一个,较为随兴所至的人,较为有条理的人,P,J,You see yourself as,a rather spontaneous person,a rather organized person
3,1,假如你是一位老师，你会选教,以事实为主的课程,涉及理论的课程,S,N,"If you were a teacher, you would prefer to teach",courses based mainly on facts,courses involving theory
4,1,你通常,与人容易混熟,比较沉静或矜持,E,I,You usually,get familiar with people easily,are more quiet or reserved
5,1,一般来说，你和哪些人比较合得来,富于想象力的人,现实的人,N,S,"In general, which people do you get along with better?",imaginative people,realistic people
6,1,你是否经常让,你的情感支配你的理智,你的理智主宰你的情感,F,T,Do you often let,your feelings govern your reason,your reason govern your feelings
7,1,处理许多事情上，你会喜欢,凭兴趣行事,按照计划行事,P,J,"When handling many things, you prefer to",act according to interest,act according to plan
8,1,你是否,容易让人了解,难于让人了解,E,I,Are you,easy for others to know,hard for others to know
9,1,按照程序表做事,会令你心喜,会令你感到束缚,J,P,Following a schedule,pleases you,makes you feel constrained
10,1,当你有一份特别的任务，你会喜欢,开始前小心组织计划,边做边找该做什么,J,P,"When you have a special task, you prefer to",carefully organize and plan before starting,figure out what to do as you go
11,1,在大多数情况下，你会选择,顺其自然,按程序表做事,P,J,"In most situations, you would choose to",let things unfold naturally,follow a schedule
12,1,大多数人会说你是一个,重视自我隐私的人,非常坦率开放的人,I,E,Most people would say you are,someone who values personal privacy,someone very frank and open
13,1,你宁愿被人认为是一个,实事求是的人,机灵的人,S,N,You would rather be seen as,a practical person,a clever/ingenious person
14,1,在一大群人当中，通常是,你介绍大家认识,别人介绍你,E,I,"In a large group, it is usually",you who introduce people to one another,others who introduce you
15,1,你会跟哪些人做朋友,常提出新注意的人,脚踏实地的人,N,S,Which kind of people would you befriend?,people who often come up with new ideas,down-to-earth people
16,1,你倾向,重视感情多于逻辑,重视逻辑多于感情,F,T,You tend to,value feelings over logic,value logic over feelings
17,1,你比较喜欢,坐观事情发展才作计划,很早就作计划,P,J,You prefer to,wait and see how things develop before planning,make plans early
18,1,你喜欢花很多的时间,一个人独处,合别人在一起,I,E,You like to spend a lot of time,alone,with other people
19,1,与很多人一起会,令你活力倍增,常常令你心力憔悴,E,I,Being with many people,energizes you,often drains you
20,1,你比较喜欢,很早便把约会、社交聚集等事情安排妥当,无拘无束，看当时有什么好玩就做什么,J,P,You prefer to,"arrange dates, gatherings, and social events well in advance",stay flexible and do whatever seems fun at the time
21,1,计划一个旅程时，你较喜欢,大部分的时间都是跟当天的感觉行事,事先知道大部分的日子会做什么,P,J,"When planning a trip, you prefer to",spend most of the time following how you feel that day,know in advance what you will do on most days
22,1,在社交聚会中，你,有时感到郁闷,常常乐在其中,I,E,"At social gatherings, you",sometimes feel bored or down,usually enjoy yourself
23,1,你通常,和别人容易混熟,趋向自处一隅,E,I,You usually,mix with others easily,tend to keep to yourself
24,1,哪些人会更吸引你,一个思想敏捷及非常聪颖的人,实事求是，具丰富常识的人,N,S,Which people attract you more?,someone quick-minded and very intelligent,someone practical with rich common sense
25,1,在日常工作中，你会,颇为喜欢处理迫使你分秒必争的突发,通常预先计划，以免要在压力下工作,P,J,"In daily work, you would",quite enjoy dealing with urgent surprises that demand immediate response,usually plan ahead to avoid working under pressure
26,1,你认为别人一般,要花很长时间才认识你,用很短的时间便认识你,I,E,People generally,take a long time to get to know you,get to know you quickly
27,2,在下列每一对词语中，哪一个词语更合你心意,注重隐私,坦率开放,I,E,"In each pair of words below, which word appeals to you more?",private,open and frank
28,2,在下列每一对词语中，哪一个词语更合你心意,预先安排的,无计划的,J,P,"In each pair of words below, which word appeals to you more?",prearranged,unplanned
29,2,在下列每一对词语中，哪一个词语更合你心意,抽象,具体,N,S,"In each pair of words below, which word appeals to you more?",abstract,concrete
30,2,在下列每一对词语中，哪一个词语更合你心意,温柔,坚定,F,T,"In each pair of words below, which word appeals to you more?",gentle,firm
31,2,在下列每一对词语中，哪一个词语更合你心意,思考,感受,T,F,"In each pair of words below, which word appeals to you more?",thinking,feeling
32,2,在下列每一对词语中，哪一个词语更合你心意,事实,意念,S,N,"In each pair of words below, which word appeals to you more?",facts,ideas
33,2,在下列每一对词语中，哪一个词语更合你心意,冲动,决定,P,J,"In each pair of words below, which word appeals to you more?",impulsive,decisive
34,2,在下列每一对词语中，哪一个词语更合你心意,热衷,文静,E,I,"In each pair of words below, which word appeals to you more?",enthusiastic,quiet
35,2,在下列每一对词语中，哪一个词语更合你心意,文静,外向,I,E,"In each pair of words below, which word appeals to you more?",quiet,outgoing
