persona_a,persona_b,pair_id,task_type,retain_mechanism,switch_condition,matched_control_condition,n_common_samples,primary_metric_name,primary_switch_value,primary_control_value,primary_gap_abs,scs_metric_name,scs_value,rai_metric_name,rai_value,switch_reaches_target_b,final_type_switch,target_persona_b
INTJ,ESFP,INTJ_to_ESFP,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.0,0.75,0.75,scs_item_agreement_with_matched_b_control,0.2366,rai_item_agreement_gap,0.6989,False,INTJ,ESFP
INTJ,ESFP,INTJ_to_ESFP,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,0.5,0.75,0.25,scs_item_agreement_with_matched_b_control,0.8602,rai_item_agreement_gap,-0.4194,False,ENTP,ESFP
INTJ,ESFP,INTJ_to_ESFP,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.6563,0.663,0.0067,scs_predicted_agreement_with_matched_b_control,0.0,mean_rai_margin_a_minus_target,0.0914,,,
INTJ,ESFP,INTJ_to_ESFP,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.6406,0.6405,0.0001,scs_predicted_agreement_with_matched_b_control,0.4333,mean_rai_margin_a_minus_target,-0.0868,,,
INTJ,ESFP,INTJ_to_ESFP,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6667,0.6333,0.0334,scs_lexical_similarity_to_matched_b_control,0.4696,rai_lexical_gap,-0.0236,,,
INTJ,ESFP,INTJ_to_ESFP,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.7,0.6667,0.0333,scs_lexical_similarity_to_matched_b_control,0.4602,rai_lexical_gap,-0.0574,,,
INTJ,INFJ,INTJ_to_INFJ,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.75,1.0,0.25,scs_item_agreement_with_matched_b_control,0.6344,rai_item_agreement_gap,0.2903,False,INTJ,INFJ
INTJ,INFJ,INTJ_to_INFJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,1.0,0.0,scs_item_agreement_with_matched_b_control,0.9247,rai_item_agreement_gap,-0.2366,True,INFJ,INFJ
INTJ,INFJ,INTJ_to_INFJ,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.6809,0.7556,0.0747,scs_predicted_agreement_with_matched_b_control,0.0333,mean_rai_margin_a_minus_target,0.0634,,,
INTJ,INFJ,INTJ_to_INFJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.7637,0.76,0.0037,scs_predicted_agreement_with_matched_b_control,0.3,mean_rai_margin_a_minus_target,-0.0587,,,
INTJ,INFJ,INTJ_to_INFJ,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6333,0.6333,0.0,scs_lexical_similarity_to_matched_b_control,0.4939,rai_lexical_gap,-0.0539,,,
INTJ,INFJ,INTJ_to_INFJ,ifeval,summary,A_summary_to_B,B_summary_to_B,30,strict_follow_all_rate,0.7333,0.6667,0.0666,scs_lexical_similarity_to_matched_b_control,0.4449,rai_lexical_gap,0.0067,,,
INTJ,ENFJ,INTJ_to_ENFJ,mbti_mcq,history,A_history_to_B,B_history_to_B,93,osr_letter_match_rate,0.5,1.0,0.5,scs_item_agreement_with_matched_b_control,0.4086,rai_item_agreement_gap,0.5269,False,INTJ,ENFJ
INTJ,ENFJ,INTJ_to_ENFJ,mbti_mcq,summary,A_summary_to_B,B_summary_to_B,93,osr_letter_match_rate,1.0,1.0,0.0,scs_item_agreement_with_matched_b_control,0.8602,rai_item_agreement_gap,-0.3548,True,ENFJ,ENFJ
INTJ,ENFJ,INTJ_to_ENFJ,machine_mindset,history,A_history_to_B,B_history_to_B,30,mean_target_similarity,0.6729,0.771,0.0981,scs_predicted_agreement_with_matched_b_control,0.0333,mean_rai_margin_a_minus_target,0.0699,,,
INTJ,ENFJ,INTJ_to_ENFJ,machine_mindset,summary,A_summary_to_B,B_summary_to_B,30,mean_target_similarity,0.7504,0.7657,0.0153,scs_predicted_agreement_with_matched_b_control,0.5,mean_rai_margin_a_minus_target,-0.0984,,,
INTJ,ENFJ,INTJ_to_ENFJ,ifeval,history,A_history_to_B,B_history_to_B,30,strict_follow_all_rate,0.6,0.6,0.0,scs_lexical_similarity_to_matched_b_control,0.5449,rai_lexical_gap,-0.1046,,,
